author,text,likes,TextBlob_Score,LLM_Sentiment,TextBlob_Label
@HP-vf3yi,Das Interview des Jahres! Hut ab! Fair und sachlich und absolut auf Augenhöhe. Toll! Einfach Super! Vielen Dank,2854,0.483,POSITIV,POSITIV
@Jomei2810,"Das ist mit Abstand das beste Interview mit Herrn Höcke, das ich jemals gesehen/gehört habe. VIELEN DANK!",2740,0.0,POSITIV,NEUTRAL
@dacchristo,"Dass dieses Interview so erfolgreich ist, zeigt doch, dass wir die „gängigen“ Journalisten hinter uns lassen können.",2635,1.0,POSITIV,POSITIV
@Petrus_prx,"Es ist sehr ungewohnt, diesen Mann aussprechen zu hören. Wirklich klasse !",2513,0.5,POSITIV,POSITIV
@melisashaz,Vielen Dank für dieses wahnsinnig wichtige Gespräch!❤,2301,0.567,POSITIV,POSITIV
@slowtact1969,Nach 14 Stunden schon über  ne halbe Million Aufrufe. Das zeigt wie wichtig und richtig solche Gespräche sind.,1989,0.425,POSITIV,POSITIV
@christopherschmitz5032,Bestes Interview seit Jahren !,1944,0.0,POSITIV,NEUTRAL
@sabinem4774,Danke für das tolle Interview ❤,1837,1.0,POSITIV,POSITIV
@lapalomaface3494,Zwei Millionen Aufrufe ! Dieser Kanal hat die ganzen Qualitätsmedien rasiert . Danke !!!,7475,0.0,POSITIV,NEUTRAL
@ShionShinigami,"Das ist wahrscheinlich mit großem Abstand das beste Interview, was Björn Höcke je führen durfte!👍🏼",7037,0.7,POSITIV,POSITIV
@kraulbart,"Ich wünsche mir das dieses wunderbare Interview etwas grösseres in Deutschland bewegt. Danke Ben, Danke Björn Höcke.",3611,0.425,POSITIV,POSITIV
@DianaPeWeb,"Björn Höcke, unmaskiert. Ohne Hass, ohne Hetze vom Stern oder Spiegel. Das war so überfällig. Danke dafür !",3060,0.0,POSITIV,NEUTRAL
@leesha4382,"Das beste Gespräch, dass ich seit langer Zeit, gesehen habe. Vielen Dank dafür.",1856,0.0,POSITIV,NEUTRAL
@BettinaBarth-jv2ww,"4,36 Stunden durchgehalten und keine Minute als Verschwendung von Lebenszeit angesehen!Danke!",1794,0.0,NEUTRAL,NEUTRAL
@GabrieleScheurer,"Ein ganz dickes Dankeschön für die Zeit und den Raum, dass Sie Herrn Höcke gegeben haben ❤Warum sollte man in einer Demokratie nicht jedem zuhören dürfen und jeden Menschen akzeptieren. Er ist eine Mensch, hat eine Ausbildung, hat auch sehr menschliche Züge.",1566,0.575,POSITIV,POSITIV
@ostschlonz6493,"mit abstand das wichtigste Interview des Jahres, es konnte sich jeder ein Bild machen über ihn und seiner Partei",1566,0.0,POSITIV,NEUTRAL
@videosuchen,Hätte mir nie vorstellen zu können vier Stunden zuzuhören. Das spricht für die Qualität beider Gesprächspartner.,1542,0.0,POSITIV,NEUTRAL
@MaxLustig-cw4zc,So N O R M A L kann man ein Interview führen lieber  ÖRR !!! Ohne ständige Hetze ohne ständiges Unterbrechen ohne ständige Fragen zu Na*i Zeit. Wunderbar.❤,1492,0.25,POSITIV,POSITIV
@bjoerngross9900,"Als ich angefangen habe, das ganze Video zu schauen, war dieses so wichtige Interview bei 1 Million, als ich fertig war, bei 1.4 Millionen. Grossartig!!!",1341,0.283,POSITIV,POSITIV
@Kuckenberg,"Ein hervorragendes Interview voller Tiefgang und Gelassenheit, danke.",1317,1.0,POSITIV,POSITIV
@GHelisch,Von ganzem Herzen danke ich Ihnen für dieses faire Interview!,1300,0.0,POSITIV,NEUTRAL
@JanetDresbach-c9m5h,"Endlich wieder ein Medium, welches VerBINDET statt spaltet! Danke Ben 🙌",1245,0.0,POSITIV,NEUTRAL
@florinator100,"Er ist sehr gebildet, sehr klug. Ein super beeindruckendes Gespräch!",1169,0.5,POSITIV,POSITIV
@coussssss,"ein RIESIGES Danke, Ben, für deine Unvoreingenommenheit 💐.",1117,0.0,POSITIV,NEUTRAL
@TheBomarzo,Bin sehr beeindruckt von diesem Interview! Hier fühle ich mich wirklich informiert.,943,0.35,POSITIV,POSITIV
@vendee2146,Innerhalb von 2 Tagen fast 2 Millionen Aufrufe - Meilenstein und absolut notwendig. Danke an Beide,919,0.35,POSITIV,POSITIV
@schmidskatz,"Ich bin gerade bei ca. 3.15 und muss sagen - einfach sensationell! Vielen Dank, dass Sie den Mut hatten, diesem Mann wertfrei die Möglichkeit zu geben, dem interessierten Volk seine Ansichten mitzuteilen.",876,0.5,POSITIV,POSITIV
@jamalredman8906,"Nur positive Resonanz, unglaublich. Danke für dieses beeindruckende Interview!👍",829,1.0,POSITIV,POSITIV
@Joachim7777-g8t,"Hervorragend! Auch diejenigen, die Herrn Höcke ablehnen, können erkennen, dass die Diabolisierung dieses Mannes in keinster Weise gerechtfertigt ist. Danke für dieses Gespräch!👍👍",784,0.333,POSITIV,POSITIV
@toorealforyou1772,"Das ich mir mal ein 4,5h Interview angucke, hätte ich niemals geglaubt. Wow, war das spannend.",736,0.35,POSITIV,POSITIV
@Wotan979,"So ein  kluger, sympathischer und mutiger Mann. Meinen vollen Respekt und Anerkennung für beide!!!",734,0.333,POSITIV,POSITIV
@tenerfino,"Hätte mir bis gestern jemand erzählt das ich mir 4 1/2 Stunden Interview anhöre - ganz egal von wem - hätte ich ihm nicht geglaubt. Aber ich habe mir jede Minute dieses Interviews angesehen und ich bin dankbar dafür das Sie es geführt haben. Björn Höcke mit seiner warmen, menschlichen, und zugleich bestimmten und überzeugten - überzeugenden! - Ausdrucksweise macht es einem leicht, dabeizubleiben, und es gab nicht eine einzige Minute wo ich das Gefühl hatte, meine Zeit zu verschwenden. Er hat all seine Positionen ausführlich und leicht verständlich dargelegt. Ihre offene, interessierte Art, durch das Interview zu führen, hat ebenfalls dazu beigetragen. Vielen Dank! 👍👍👍",666,0.269,POSITIV,POSITIV
@sashimisubs,DAS nenne ich Journalismus! Wer braucht da die GEZ?,595,0.0,POSITIV,NEUTRAL
@torstenkafer1167,"4,5 Stunden! Keine Minute war langweilig. Danke für diesen Podcast.
VG Torsten",3178,-0.25,POSITIV,NEGATIV
@markusrobertz7592,Hut ab. Chapeau und Danke für das Interwiev. Mach so weida 💪🏻👍🏻😎,1010,0.0,POSITIV,NEUTRAL
@henryschmidt3684,Diesem Gespräch wünsche ich 80 Millionen Aufrufe!!!!,964,0.0,POSITIV,NEUTRAL
@billy4053,"Danke, dass der Mann einmal ohne ständiges Unterbrechen reden durfte",762,0.0,POSITIV,NEUTRAL
@gustlhermann8836,"Was ARD und ZDF nicht schaffen, nicht schaffen wollen oder dürfen, gibts hier auf hohem Niveau.",743,0.0,POSITIV,NEUTRAL
@mariusmallow973,"Ben ist mittlerweile ein unverzichtbares Medium, Respekt ❤",485,1.0,POSITIV,POSITIV
@Nek977,Das Video gehört jetzt schon nach 3 Tagen zu seinen beliebten Videos auf YouTube. Für mich das Interview des Jahres 2026.,469,0.35,POSITIV,POSITIV
@TheLEGACYOFMUSIC,Und der Spiegel berichtet schon wieder nur Unfug über dieses ehrliche Interview.,433,0.85,POSITIV,POSITIV
@sylkehofmann5571,Sensationell! So stelle ich mir ein Interview vor 👍👏👏,423,0.5,POSITIV,POSITIV
@carrie4060,"Niemals dachte ich, das ganze Video schauen/anhören zu können. Nun bin ich am Ende und könnte grad von vorne anfangen! Danke! Mega interessant, beide sehr sympathisch, vielen Dank!",312,0.125,POSITIV,POSITIV
@uwekruth8748,"Kein Angriff. Keine penetrant Unterbrechung. Genau das, was gez nicht kann, nicht will und nicht darf.",311,0.117,POSITIV,POSITIV
@Warwara11,"Ein kluges Gespräch, die mehr als 2 Millionen Aufrufe sprechen für sich. DANKE 🙏",302,0.25,POSITIV,POSITIV
@ragnarsteiner8107,"Reden lassen, zuhören und entsprechend Fragen formulieren.
Ein selten gewordenes Phänomen! 
Danke!",293,0.0,POSITIV,NEUTRAL
@Dankadin,"Liebe Grüße an die Mitarbeiter vom Verfassungsschutz, die gerade zusehen und durch die Kommentare lesen 🙋🏼‍♂️",292,0.0,NEUTRAL,NEUTRAL
@WaltrautGross,Da kann tatsächlich mehr als 4 Stunden zuhören und nur zustimmen❤ Danke für dieses Gespräch!,248,0.0,POSITIV,NEUTRAL
@MrsClaudia999,"Man kann ihm sehr gut 4,5 Stunden zuhören. Großartiges Interview Ben",200,1.0,POSITIV,POSITIV
@robsterlobster4869,"2,1 Millionen Aufrufe. Sehr sehr viele Menschen sind glücklich über dieses Gespräch. Ich hoffe du wirst von den anderen in Ruhe gelassen. Vielen Dank ❤",199,0.425,POSITIV,POSITIV
@natalyaheinze6646,"Die 4,5 Stunden habe ich mir  über die letzten drei Tage verteilt angehört. Und irgendwie gibt mir das Gespräch Hoffnung. Hoffnung für das Land und das Volk.",197,0.0,POSITIV,NEUTRAL
@NelliDemina,"Mein Gott, bin ich froh, mir die Zeit genommen zu haben!!!
Herzlichen Dank, Ihnen beiden. ...hoffe auf eine Fortsetzuung❣️",194,0.9,POSITIV,POSITIV
@TJK501,"Der ÖRR schäumt gerade vor Wut, während er die Kommentare durchliest 😂",191,0.0,NEUTRAL,NEUTRAL
@gugucharly,Statt des erwarteten Teufel sitzt da einfach nur ein intelligenter geradliniger Mensch !,188,0.85,POSITIV,POSITIV
@user-dy6ps2lt5e,"Ich, als Ausländer, stimme dem Herrn Höcke zu 100% zu. Ich leben seit über 20 Jahren hier und ich bin entsetzt darüber, wie das wundervolle Land das ich kennen und lieben gelernt haben, zerstört wird.",186,0.0,POSITIV,NEUTRAL
@AndyKing1000,"So ein Gespräch könnte Merz niemals führen, weil er sich darauf nicht vorbereiten kann und ggf. Wahrheit ans Licht kommt",178,0.0,NEGATIV,NEUTRAL
@laatexklusiv1555,ICH HOFFE AUS TIEFSTEM HERZEN DAS DIESES INTERVIEW DIE LEUTE WACH RÜTTELT ❤️🙏🏼,175,0.7,POSITIV,POSITIV
@pragmatisch-kritisch,"Ich bin gerade bei 2:03 Std... und ich dachte NIE, dass ich mir ein yt mit 4,5 Std ansehen werde. Ein ganz großes Chapeau an alle Beteiligten!",169,0.35,POSITIV,POSITIV
@Daniel_Karlson,"Ich habe Herrn Höcke seit fast 10 Jahren nicht einmal ausreden gehört. Jetzt habe ich es, dank Ben ❤️",940,0.0,POSITIV,NEUTRAL
@fatmammut1000,"Eine Wohltat, ein Gespräch verfolgen zu können, ohne dass der Gast ständig unterbrochen wird. Du hast das hinbekommen, was Mainstream-Media bislang nicht fertiggebracht hat bzw. nicht will. Dafür vielen Dank!",664,0.0,POSITIV,NEUTRAL
@Nitroglittergreen,Ich wünsche  Euch für dieses Interview mindestens 10 Millionen Zuschauer.,596,0.0,POSITIV,NEUTRAL
@maikfischer2107,Traurig das solch tolle Menschen Personenschutz brauchen in einer sogenannten Demokratie,499,0.0,POSITIV,NEUTRAL
@tscspsis,"4.5 Stunden Ruhrgebiet nach Berlin, die beste Autofahrt mit   einem Interview was keine Minute langweilig war.. Vielen Dank ❤",380,-0.25,POSITIV,NEGATIV
@heidelorezillmer5794,Das ganze Interview angehört und die beiden Männer gesehen. Wunderbar! Glückwunsch !,329,0.333,POSITIV,POSITIV
@siwo3033,"Ich ahne, weshalb ich dieses Gespräch als so außergewöhnlich empfinde. 🤔
Es ist selten, dass jemand mit so hoher Bildung und Gabe zur Reflexion ausführlich zu Wort kommt. Es macht Freude, Euch beiden zuzuhören. 🎉",315,0.25,POSITIV,POSITIV
@Pfuetzensammler,"2,8 Millionen nach 4 Tagen, großartig! Für mich ein Beweis, dass Ausgrenzung und Diffamierung gescheitert ist.
Ein guter Moment für die Meinungsfreiheit!",299,0.667,POSITIV,POSITIV
@nondispybeliever,Das Interview müssten eigentlich mindestens 50 Millionen schauen,276,0.0,NEUTRAL,NEUTRAL
@KatyaGeorgieva-x5o,"Ben, ich wünsche dir, dass diesen Podcast 80 Millionen Aufrufe bekommt und jeder in diesem Land davon erfährt. Das war mit Abstand das beste Interview, was ich jemals gehört habe.",255,0.0,POSITIV,NEUTRAL
@christinas.2672,"Er darf ausreden, er darf nachdenken, er wird respektvoll behandelt...wie jeder andere Gast in Bens Podcast!",209,1.0,POSITIV,POSITIV
@heinzdegenhardt3349,Danke  für  das  Interview  !!!  Zeitgeschichte  .,201,0.0,POSITIV,NEUTRAL
@79scarfaze,"Wahnsinn, endlich lässt man diesen Mann mal ausreden. Danke",199,0.0,POSITIV,NEUTRAL
@MonaLisa-xc5dm,"Ein grandioses Gespräch, was jeder, der sich politisch interessiert anhören sollte. 👍🏻",196,0.5,POSITIV,POSITIV
@ich6670,"Sehr offen und ehrlich. 
Wunderbar, so eine neutrale Sendung. 
Danke.",179,0.667,POSITIV,POSITIV
@harrym.3178,"Als 65 järiger der schon viel gesehen und gehört hat, bin ich tief beeindruckt von diesem Interview.
Deine Fragen, Deine Art der Interview Führung, Dein ausreden und das Gesagte einfach unkommentiert stehen zu lassen ist für mich ungewöhnlich selten anzutreffen.
Ein Riesiges Dankeschön für Deine Arbeit, Deinen Mut und Deinen Kanal🙏🏼",177,0.233,POSITIV,POSITIV
@prinzvalium1974,"...tolles Interview!
Ruhig, respektvoll und VOR ALLEM: Ausreden lassen -so spricht man miteinander!",171,1.0,POSITIV,POSITIV
@jack_in_the_green,"Es war das wahrscheinlich eher das wichtigste Gespräch, dass Deutschland gebraucht hat. Vielen Dank!",166,0.0,POSITIV,NEUTRAL
@kaija0610,"0 radikales, 100% gesunder Menschenverstand! Top!",160,1.0,POSITIV,POSITIV
@GEZwungen_1,"2,8 Millionen Aufrufe in 4 Tage ❤❤❤
Das beweist doch, wie WICHTIG dieser Podcast war",148,0.85,POSITIV,POSITIV
@Ata_Patata,"Unglaublich, was dieses Interview für eine Reichweite erzielt hat. Ein mega erfolgreiches Konzept, Menschen einfach nur reden zu lassen - ganz ohne Zensur! Danke Ben, dass Du so etwas möglich machst. Jeder kann sich selbst seine Meinung bilden.",137,0.212,POSITIV,POSITIV
@oliverts3004,"Ich bin einer von denen, der Herrn Höcke nur aus Schlagzeilen kennt und sich aufgrund dessen ein Bild gemacht hat... Ich muss sagen ich bin echt positiv überrascht und die Gesprächsführung trug dazu echt bei. Respekt und er wirkt sehr authentisch",116,1.0,POSITIV,POSITIV
@DGFlash-os6tk,Danke für dieses Interview.,112,0.0,NEUTRAL,NEUTRAL
@michaelg.9289,Aufgrund dieses Beitrages bin ich Mitglied dieses Kanals geworden! Danke! 💙,111,0.0,POSITIV,NEUTRAL
@theycallmedeeEmcee,"Eine kleine Geste, die Wertschätzung ausdrücken soll. Danke Ben! ❤",110,0.333,NEUTRAL,POSITIV
@MrZampel,Danke lieber SPIEGEL. Ohne Eure Hetze hätte ich das Interview garnicht gesehen.,2264,0.5,POSITIV,POSITIV
@Maximus-Termann,"In nicht einmal einer Woche voll durch die 3 Millionen Marke geknallt. Hammer  🔨  

Weiter so!",1775,0.0,POSITIV,NEUTRAL
@SamayaPetraGuckes,"Ich kann nur sagen, dass ich mir nie ein anderes Gespräch über 4 Stunden angehört hätte. Dieses Gespräch war es jede Minute wert.",973,0.0,POSITIV,NEUTRAL
@maxmustermann8516,"Ein extra Dank an den Spiegel für die Werbung , sonst hätte ich nie dieses wunderbare Video entdeckt",956,1.0,POSITIV,POSITIV
@itzzz_leoandamy615,Danke für das tolle Interview. Ich bin begeistert.,802,1.0,POSITIV,POSITIV
@Djarmilo,Endlich kann man ihm zuhören ohne das er ständig unterbrochen wird!,790,0.0,POSITIV,NEUTRAL
@alexwrobel8529,Ich habe Herrn Höcke in diesen viereinhalb Stunden besser kennengelernt als Herrn Merz seit seiner Amtseinführung als Bundeskanzler.  Vielen Dank für Ihre Bemühungen. Tolle Gespräche.,628,0.333,POSITIV,POSITIV
@DietmarKuntz-bj8se,"Die 4,5 Stunden vergingen wie im Flug. Ein absolutes Weltklasse Gespräch. Vielen herzlichen Dank dafür ❤🎉",625,0.333,POSITIV,POSITIV
@GermaniaAertanaEst,Hier ist ein großes Stück Zeitgeschichte entstanden.,617,0.7,NEUTRAL,POSITIV
@birgitrilling7286,"Was für ein informatives und angenehmes Gespräch! 
Vielen lieben Dank dafür 🙏",556,1.0,POSITIV,POSITIV
@katja6228,"Gerade die Pausen, eine Wohltat. Keine Provokation, keine freie Interpetaion, kein Gekeife. Vielen Dank dafür!",452,-0.117,POSITIV,NEGATIV
@lunaticsystem82,"Danke, dass Du mit Deiner Arbeit zu einer zivilisierten Gesprächskultur beiträgst!",314,0.0,POSITIV,NEUTRAL
@BeingMEworld,"Auf dem Weg zu 5 Millionen. Grandios, was ein menschlicher Austausch quasi über Nacht bewirken kann.",262,0.45,POSITIV,POSITIV
@stephburg3695,"Über 3 Millionen Aufrufe nach 3 Tagen! 😍 Danke, Ben, für dieses tolle Gespräch!",242,0.5,POSITIV,POSITIV
@claudiasammer7414,Ich könnte ihm Stunden lang zuhören . So toll sich auszudrücken und respektvoll zu sprechen ist toll . Grandios,225,0.667,POSITIV,POSITIV
@tinisun-o1v,"Das erste Mal, dass ich ihn überhaupt höre. Sonst wird er ja sofort unterbrochen. Sehr sympathisch, gebildet und wortgewandt!",223,0.333,POSITIV,POSITIV
@QuitAndBreathe-Course,"Ich hätte nie gedacht, dass ich mir einmal ein viereinhalbstündiges Interview komplett anschauen würde. Aber genau das habe ich getan. Ein wirklich starkes Interview mit zwei grossartigen Typen.",208,0.283,POSITIV,POSITIV
@dimabrett7307,Dieser Podcast verändert die Zukunft.  Vielen Dank Ben.,188,0.0,POSITIV,NEUTRAL
@Luna-Starfrost,Das wollte ich nochmal hier lassen. Absolut geniales Video. 🩷,167,0.333,POSITIV,POSITIV
@PeterGriffin-dt4ws,"Ich habe diesen Mann völlig falsch eingeschätzt.
Nun höre ich ihn ohne ÖRR-Filter und muss sagen, daß ich mich von ihm voll abgeholt fühle.
Ich denke, da sollten sich andere Politiker eine Scheibe von abschneiden.",156,-0.333,POSITIV,NEGATIV
@Livil9,"Höcke hat sein wahres Gesicht gezeigt. Ein besorgter Bürger und liebender Familienvater, der nicht zuschauen kann, wie sein Land vor die Hunde geht. Alles Gute und weiterhin viel Erfolg Herr Höcke❤",155,-0.167,POSITIV,NEGATIV
@IRoXXI,"Was Höcke sagt, ist völlig nachvollziehbar. Genau das erleben wir jeden Tag.",151,0.0,POSITIV,NEUTRAL
