Date,author,text,likes,TextBlob_Score,LLM_Polarity,LLM_Sentiment,TextBlob_Label
2026-04-30,@icecreamman1687,"Selten so klare Worte von einem Lehrer, Vater und Politiker gehört. 👍",2910,0.5,0.8,POSITIV,POSITIV
2026-04-30,@HP-vf3yi,Das Interview des Jahres! Hut ab! Fair und sachlich und absolut auf Augenhöhe. Toll! Einfach Super! Vielen Dank,2854,0.483,1,POSITIV,POSITIV
2026-04-30,@Jomei2810,"Das ist mit Abstand das beste Interview mit Herrn Höcke, das ich jemals gesehen/gehört habe. VIELEN DANK!",2740,0,1,POSITIV,NEUTRAL
2026-04-30,@dacchristo,"Dass dieses Interview so erfolgreich ist, zeigt doch, dass wir die „gängigen“ Journalisten hinter uns lassen können.",2635,1,0.7,POSITIV,POSITIV
2026-04-30,@Petrus_prx,"Es ist sehr ungewohnt, diesen Mann aussprechen zu hören. Wirklich klasse !",2513,0.5,0.8,POSITIV,POSITIV
2026-04-30,@melisashaz,Vielen Dank für dieses wahnsinnig wichtige Gespräch!❤,2301,0.567,0.9,POSITIV,POSITIV
2026-04-30,@slowtact1969,Nach 14 Stunden schon über  ne halbe Million Aufrufe. Das zeigt wie wichtig und richtig solche Gespräche sind.,1989,0.425,0.8,POSITIV,POSITIV
2026-04-30,@christopherschmitz5032,Bestes Interview seit Jahren !,1944,0,0.8,POSITIV,NEUTRAL
2026-04-30,@sabinem4774,Danke für das tolle Interview ❤,1837,1,1,POSITIV,POSITIV
2026-05-01,@lapalomaface3494,Zwei Millionen Aufrufe ! Dieser Kanal hat die ganzen Qualitätsmedien rasiert . Danke !!!,7475,0,0.8,POSITIV,NEUTRAL
2026-05-01,@ShionShinigami,"Das ist wahrscheinlich mit großem Abstand das beste Interview, was Björn Höcke je führen durfte!👍🏼",7037,0.7,0.9,POSITIV,POSITIV
2026-05-01,@kraulbart,"Ich wünsche mir das dieses wunderbare Interview etwas grösseres in Deutschland bewegt. Danke Ben, Danke Björn Höcke.",3611,0.425,0.9,POSITIV,POSITIV
2026-05-01,@DianaPeWeb,"Björn Höcke, unmaskiert. Ohne Hass, ohne Hetze vom Stern oder Spiegel. Das war so überfällig. Danke dafür !",3060,0,0.8,POSITIV,NEUTRAL
2026-05-01,@leesha4382,"Das beste Gespräch, dass ich seit langer Zeit, gesehen habe. Vielen Dank dafür.",1856,0,1,POSITIV,NEUTRAL
2026-05-01,@BettinaBarth-jv2ww,"4,36 Stunden durchgehalten und keine Minute als Verschwendung von Lebenszeit angesehen!Danke!",1794,0,0.8,POSITIV,NEUTRAL
2026-05-01,@GabrieleScheurer,"Ein ganz dickes Dankeschön für die Zeit und den Raum, dass Sie Herrn Höcke gegeben haben ❤Warum sollte man in einer Demokratie nicht jedem zuhören dürfen und jeden Menschen akzeptieren. Er ist eine Mensch, hat eine Ausbildung, hat auch sehr menschliche Züge.",1566,0.575,0.8,POSITIV,POSITIV
2026-05-01,@ostschlonz6493,"mit abstand das wichtigste Interview des Jahres, es konnte sich jeder ein Bild machen über ihn und seiner Partei",1566,0,0.8,POSITIV,NEUTRAL
2026-05-01,@videosuchen,Hätte mir nie vorstellen zu können vier Stunden zuzuhören. Das spricht für die Qualität beider Gesprächspartner.,1542,0,0.7,POSITIV,NEUTRAL
2026-05-01,@MaxLustig-cw4zc,So N O R M A L kann man ein Interview führen lieber  ÖRR !!! Ohne ständige Hetze ohne ständiges Unterbrechen ohne ständige Fragen zu Na*i Zeit. Wunderbar.❤,1492,0.25,0.8,POSITIV,POSITIV
2026-05-01,@bjoerngross9900,"Als ich angefangen habe, das ganze Video zu schauen, war dieses so wichtige Interview bei 1 Million, als ich fertig war, bei 1.4 Millionen. Grossartig!!!",1341,0.283,0.8,POSITIV,POSITIV
2026-05-01,@Kuckenberg,"Ein hervorragendes Interview voller Tiefgang und Gelassenheit, danke.",1317,1,0.9,POSITIV,POSITIV
2026-05-01,@GHelisch,Von ganzem Herzen danke ich Ihnen für dieses faire Interview!,1300,0,0.9,POSITIV,NEUTRAL
2026-05-01,@JanetDresbach-c9m5h,"Endlich wieder ein Medium, welches VerBINDET statt spaltet! Danke Ben 🙌",1245,0,0.9,POSITIV,NEUTRAL
2026-05-01,@florinator100,"Er ist sehr gebildet, sehr klug. Ein super beeindruckendes Gespräch!",1169,0.5,0.9,POSITIV,POSITIV
2026-05-01,@coussssss,"ein RIESIGES Danke, Ben, für deine Unvoreingenommenheit 💐.",1117,0,0.8,POSITIV,NEUTRAL
2026-05-01,@TheBomarzo,Bin sehr beeindruckt von diesem Interview! Hier fühle ich mich wirklich informiert.,943,0.35,0.8,POSITIV,POSITIV
2026-05-01,@vendee2146,Innerhalb von 2 Tagen fast 2 Millionen Aufrufe - Meilenstein und absolut notwendig. Danke an Beide,919,0.35,0.8,POSITIV,POSITIV
2026-05-01,@schmidskatz,"Ich bin gerade bei ca. 3.15 und muss sagen - einfach sensationell! Vielen Dank, dass Sie den Mut hatten, diesem Mann wertfrei die Möglichkeit zu geben, dem interessierten Volk seine Ansichten mitzuteilen.",876,0.5,0.9,POSITIV,POSITIV
2026-05-01,@jamalredman8906,"Nur positive Resonanz, unglaublich. Danke für dieses beeindruckende Interview!👍",829,1,1,POSITIV,POSITIV
2026-05-01,@Joachim7777-g8t,"Hervorragend! Auch diejenigen, die Herrn Höcke ablehnen, können erkennen, dass die Diabolisierung dieses Mannes in keinster Weise gerechtfertigt ist. Danke für dieses Gespräch!👍👍",784,0.333,0.8,POSITIV,POSITIV
2026-05-01,@toorealforyou1772,"Das ich mir mal ein 4,5h Interview angucke, hätte ich niemals geglaubt. Wow, war das spannend.",736,0.35,0.8,POSITIV,POSITIV
2026-05-01,@Wotan979,"So ein  kluger, sympathischer und mutiger Mann. Meinen vollen Respekt und Anerkennung für beide!!!",734,0.333,0.9,POSITIV,POSITIV
2026-05-01,@tenerfino,"Hätte mir bis gestern jemand erzählt das ich mir 4 1/2 Stunden Interview anhöre - ganz egal von wem - hätte ich ihm nicht geglaubt. Aber ich habe mir jede Minute dieses Interviews angesehen und ich bin dankbar dafür das Sie es geführt haben. Björn Höcke mit seiner warmen, menschlichen, und zugleich bestimmten und überzeugten - überzeugenden! - Ausdrucksweise macht es einem leicht, dabeizubleiben, und es gab nicht eine einzige Minute wo ich das Gefühl hatte, meine Zeit zu verschwenden. Er hat all seine Positionen ausführlich und leicht verständlich dargelegt. Ihre offene, interessierte Art, durch das Interview zu führen, hat ebenfalls dazu beigetragen. Vielen Dank! 👍👍👍",666,0.269,1,POSITIV,POSITIV
2026-05-01,@sashimisubs,DAS nenne ich Journalismus! Wer braucht da die GEZ?,595,0,0.8,POSITIV,NEUTRAL
2026-05-02,@torstenkafer1167,"4,5 Stunden! Keine Minute war langweilig. Danke für diesen Podcast.
VG Torsten",3178,-0.25,0.8,POSITIV,NEGATIV
2026-05-02,@markusrobertz7592,Hut ab. Chapeau und Danke für das Interwiev. Mach so weida 💪🏻👍🏻😎,1010,0,1,POSITIV,NEUTRAL
2026-05-02,@henryschmidt3684,Diesem Gespräch wünsche ich 80 Millionen Aufrufe!!!!,964,0,0.8,POSITIV,NEUTRAL
2026-05-02,@billy4053,"Danke, dass der Mann einmal ohne ständiges Unterbrechen reden durfte",762,0,0.8,POSITIV,NEUTRAL
2026-05-02,@gustlhermann8836,"Was ARD und ZDF nicht schaffen, nicht schaffen wollen oder dürfen, gibts hier auf hohem Niveau.",743,0,0.8,POSITIV,NEUTRAL
2026-05-02,@mariusmallow973,"Ben ist mittlerweile ein unverzichtbares Medium, Respekt ❤",485,1,0.8,POSITIV,POSITIV
2026-05-02,@Nek977,Das Video gehört jetzt schon nach 3 Tagen zu seinen beliebten Videos auf YouTube. Für mich das Interview des Jahres 2026.,469,0.35,0.8,POSITIV,POSITIV
2026-05-02,@TheLEGACYOFMUSIC,Und der Spiegel berichtet schon wieder nur Unfug über dieses ehrliche Interview.,433,0.85,0.6,POSITIV,POSITIV
2026-05-02,@sylkehofmann5571,Sensationell! So stelle ich mir ein Interview vor 👍👏👏,423,0.5,1,POSITIV,POSITIV
2026-05-02,@carrie4060,"Niemals dachte ich, das ganze Video schauen/anhören zu können. Nun bin ich am Ende und könnte grad von vorne anfangen! Danke! Mega interessant, beide sehr sympathisch, vielen Dank!",312,0.125,1,POSITIV,POSITIV
2026-05-02,@uwekruth8748,"Kein Angriff. Keine penetrant Unterbrechung. Genau das, was gez nicht kann, nicht will und nicht darf.",311,0.117,0.8,POSITIV,POSITIV
2026-05-02,@Warwara11,"Ein kluges Gespräch, die mehr als 2 Millionen Aufrufe sprechen für sich. DANKE 🙏",302,0.25,0.8,POSITIV,POSITIV
2026-05-02,@ragnarsteiner8107,"Reden lassen, zuhören und entsprechend Fragen formulieren.
Ein selten gewordenes Phänomen! 
Danke!",293,0,0.8,POSITIV,NEUTRAL
2026-05-02,@Dankadin,"Liebe Grüße an die Mitarbeiter vom Verfassungsschutz, die gerade zusehen und durch die Kommentare lesen 🙋🏼‍♂️",292,0,0,NEUTRAL,NEUTRAL
2026-05-02,@WaltrautGross,Da kann tatsächlich mehr als 4 Stunden zuhören und nur zustimmen❤ Danke für dieses Gespräch!,248,0,0.8,POSITIV,NEUTRAL
2026-05-02,@MrsClaudia999,"Man kann ihm sehr gut 4,5 Stunden zuhören. Großartiges Interview Ben",200,1,0.9,POSITIV,POSITIV
2026-05-02,@robsterlobster4869,"2,1 Millionen Aufrufe. Sehr sehr viele Menschen sind glücklich über dieses Gespräch. Ich hoffe du wirst von den anderen in Ruhe gelassen. Vielen Dank ❤",199,0.425,0.8,POSITIV,POSITIV
2026-05-02,@natalyaheinze6646,"Die 4,5 Stunden habe ich mir  über die letzten drei Tage verteilt angehört. Und irgendwie gibt mir das Gespräch Hoffnung. Hoffnung für das Land und das Volk.",197,0,0.6,POSITIV,NEUTRAL
2026-05-02,@NelliDemina,"Mein Gott, bin ich froh, mir die Zeit genommen zu haben!!!
Herzlichen Dank, Ihnen beiden. ...hoffe auf eine Fortsetzuung❣️",194,0.9,1,POSITIV,POSITIV
2026-05-02,@TJK501,"Der ÖRR schäumt gerade vor Wut, während er die Kommentare durchliest 😂",191,0,0.8,POSITIV,NEUTRAL
2026-05-02,@gugucharly,Statt des erwarteten Teufel sitzt da einfach nur ein intelligenter geradliniger Mensch !,188,0.85,0.8,POSITIV,POSITIV
2026-05-02,@user-dy6ps2lt5e,"Ich, als Ausländer, stimme dem Herrn Höcke zu 100% zu. Ich leben seit über 20 Jahren hier und ich bin entsetzt darüber, wie das wundervolle Land das ich kennen und lieben gelernt haben, zerstört wird.",186,0,0.6,POSITIV,NEUTRAL
2026-05-02,@AndyKing1000,"So ein Gespräch könnte Merz niemals führen, weil er sich darauf nicht vorbereiten kann und ggf. Wahrheit ans Licht kommt",178,0,-0.5,NEGATIV,NEUTRAL
2026-05-02,@laatexklusiv1555,ICH HOFFE AUS TIEFSTEM HERZEN DAS DIESES INTERVIEW DIE LEUTE WACH RÜTTELT ❤️🙏🏼,175,0.7,0.8,POSITIV,POSITIV
2026-05-02,@pragmatisch-kritisch,"Ich bin gerade bei 2:03 Std... und ich dachte NIE, dass ich mir ein yt mit 4,5 Std ansehen werde. Ein ganz großes Chapeau an alle Beteiligten!",169,0.35,0.9,POSITIV,POSITIV
2026-05-03,@Daniel_Karlson,"Ich habe Herrn Höcke seit fast 10 Jahren nicht einmal ausreden gehört. Jetzt habe ich es, dank Ben ❤️",940,0,0.8,POSITIV,NEUTRAL
2026-05-03,@fatmammut1000,"Eine Wohltat, ein Gespräch verfolgen zu können, ohne dass der Gast ständig unterbrochen wird. Du hast das hinbekommen, was Mainstream-Media bislang nicht fertiggebracht hat bzw. nicht will. Dafür vielen Dank!",664,0,0.9,POSITIV,NEUTRAL
2026-05-03,@Nitroglittergreen,Ich wünsche  Euch für dieses Interview mindestens 10 Millionen Zuschauer.,596,0,0.8,POSITIV,NEUTRAL
2026-05-03,@maikfischer2107,Traurig das solch tolle Menschen Personenschutz brauchen in einer sogenannten Demokratie,499,0,-0.5,NEGATIV,NEUTRAL
2026-05-03,@tscspsis,"4.5 Stunden Ruhrgebiet nach Berlin, die beste Autofahrt mit   einem Interview was keine Minute langweilig war.. Vielen Dank ❤",380,-0.25,0.8,POSITIV,NEGATIV
2026-05-03,@heidelorezillmer5794,Das ganze Interview angehört und die beiden Männer gesehen. Wunderbar! Glückwunsch !,329,0.333,0.8,POSITIV,POSITIV
2026-05-03,@siwo3033,"Ich ahne, weshalb ich dieses Gespräch als so außergewöhnlich empfinde. 🤔
Es ist selten, dass jemand mit so hoher Bildung und Gabe zur Reflexion ausführlich zu Wort kommt. Es macht Freude, Euch beiden zuzuhören. 🎉",315,0.25,0.9,POSITIV,POSITIV
2026-05-03,@Pfuetzensammler,"2,8 Millionen nach 4 Tagen, großartig! Für mich ein Beweis, dass Ausgrenzung und Diffamierung gescheitert ist.
Ein guter Moment für die Meinungsfreiheit!",299,0.667,0.8,POSITIV,POSITIV
2026-05-03,@nondispybeliever,Das Interview müssten eigentlich mindestens 50 Millionen schauen,276,0,0,NEUTRAL,NEUTRAL
2026-05-03,@KatyaGeorgieva-x5o,"Ben, ich wünsche dir, dass diesen Podcast 80 Millionen Aufrufe bekommt und jeder in diesem Land davon erfährt. Das war mit Abstand das beste Interview, was ich jemals gehört habe.",255,0,1,POSITIV,NEUTRAL
2026-05-03,@christinas.2672,"Er darf ausreden, er darf nachdenken, er wird respektvoll behandelt...wie jeder andere Gast in Bens Podcast!",209,1,0.8,POSITIV,POSITIV
2026-05-03,@heinzdegenhardt3349,Danke  für  das  Interview  !!!  Zeitgeschichte  .,201,0,0.8,POSITIV,NEUTRAL
2026-05-03,@79scarfaze,"Wahnsinn, endlich lässt man diesen Mann mal ausreden. Danke",199,0,0.8,POSITIV,NEUTRAL
2026-05-03,@MonaLisa-xc5dm,"Ein grandioses Gespräch, was jeder, der sich politisch interessiert anhören sollte. 👍🏻",196,0.5,0.9,POSITIV,POSITIV
2026-05-03,@ich6670,"Sehr offen und ehrlich. 
Wunderbar, so eine neutrale Sendung. 
Danke.",179,0.667,0.8,POSITIV,POSITIV
2026-05-03,@harrym.3178,"Als 65 järiger der schon viel gesehen und gehört hat, bin ich tief beeindruckt von diesem Interview.
Deine Fragen, Deine Art der Interview Führung, Dein ausreden und das Gesagte einfach unkommentiert stehen zu lassen ist für mich ungewöhnlich selten anzutreffen.
Ein Riesiges Dankeschön für Deine Arbeit, Deinen Mut und Deinen Kanal🙏🏼",177,0.233,0.9,POSITIV,POSITIV
2026-05-03,@prinzvalium1974,"...tolles Interview!
Ruhig, respektvoll und VOR ALLEM: Ausreden lassen -so spricht man miteinander!",171,1,0.9,POSITIV,POSITIV
2026-05-03,@jack_in_the_green,"Es war das wahrscheinlich eher das wichtigste Gespräch, dass Deutschland gebraucht hat. Vielen Dank!",166,0,0.8,POSITIV,NEUTRAL
2026-05-03,@kaija0610,"0 radikales, 100% gesunder Menschenverstand! Top!",160,1,0.8,POSITIV,POSITIV
2026-05-03,@GEZwungen_1,"2,8 Millionen Aufrufe in 4 Tage ❤❤❤
Das beweist doch, wie WICHTIG dieser Podcast war",148,0.85,0.8,POSITIV,POSITIV
2026-05-03,@Ata_Patata,"Unglaublich, was dieses Interview für eine Reichweite erzielt hat. Ein mega erfolgreiches Konzept, Menschen einfach nur reden zu lassen - ganz ohne Zensur! Danke Ben, dass Du so etwas möglich machst. Jeder kann sich selbst seine Meinung bilden.",137,0.212,0.9,POSITIV,POSITIV
2026-05-03,@oliverts3004,"Ich bin einer von denen, der Herrn Höcke nur aus Schlagzeilen kennt und sich aufgrund dessen ein Bild gemacht hat... Ich muss sagen ich bin echt positiv überrascht und die Gesprächsführung trug dazu echt bei. Respekt und er wirkt sehr authentisch",116,1,0.8,POSITIV,POSITIV
2026-05-03,@DGFlash-os6tk,Danke für dieses Interview.,112,0,0.8,POSITIV,NEUTRAL
2026-05-03,@michaelg.9289,Aufgrund dieses Beitrages bin ich Mitglied dieses Kanals geworden! Danke! 💙,111,0,0.8,POSITIV,NEUTRAL
2026-05-03,@theycallmedeeEmcee,"Eine kleine Geste, die Wertschätzung ausdrücken soll. Danke Ben! ❤",110,0.333,0.8,POSITIV,POSITIV
2026-05-04,@MrZampel,Danke lieber SPIEGEL. Ohne Eure Hetze hätte ich das Interview garnicht gesehen.,2264,0.5,0.8,POSITIV,POSITIV
2026-05-04,@Maximus-Termann,"In nicht einmal einer Woche voll durch die 3 Millionen Marke geknallt. Hammer  🔨  

Weiter so!",1775,0,0.8,POSITIV,NEUTRAL
2026-05-04,@SamayaPetraGuckes,"Ich kann nur sagen, dass ich mir nie ein anderes Gespräch über 4 Stunden angehört hätte. Dieses Gespräch war es jede Minute wert.",973,0,0.9,POSITIV,NEUTRAL
2026-05-04,@maxmustermann8516,"Ein extra Dank an den Spiegel für die Werbung , sonst hätte ich nie dieses wunderbare Video entdeckt",956,1,0.8,POSITIV,POSITIV
2026-05-04,@itzzz_leoandamy615,Danke für das tolle Interview. Ich bin begeistert.,802,1,0.9,POSITIV,POSITIV
2026-05-04,@Djarmilo,Endlich kann man ihm zuhören ohne das er ständig unterbrochen wird!,790,0,0.8,POSITIV,NEUTRAL
2026-05-04,@alexwrobel8529,Ich habe Herrn Höcke in diesen viereinhalb Stunden besser kennengelernt als Herrn Merz seit seiner Amtseinführung als Bundeskanzler.  Vielen Dank für Ihre Bemühungen. Tolle Gespräche.,628,0.333,0.8,POSITIV,POSITIV
